Player,Season,Pos,Ht_in,MP_adv,ORtg,DRtg,OBPM,DBPM,BPM,TS%,eFG%,USG%,AST%,TOV%,ORB%,DRB%,STL%,BLK%
Mounir Hima,2023,F,,199,107.4,100.5,-3.1,4.6,1.5,0.476,0.462,8.8,3.3,17.5,11.4,15.3,2.1,16.4
Anthony Clayton,2023,F,,6,33.1,88.7,-29.4,-6.0,-35.4,0.204,0.0,58.6,0.0,29.0,0.0,18.1,9.8,0.0
Niko Ruffin,2023,F,,7,43.3,93.3,-15.0,1.6,-13.4,0.25,0.25,36.4,0.0,20.0,0.0,15.5,8.4,0.0
Arthur Cordes,2023,F,,5,0.0,121.0,-11.9,-4.9,-16.8,,,10.2,0.0,100.0,0.0,0.0,0.0,0.0
Peter Carey,2023,F,,20,222.7,108.3,-9.3,3.9,-5.5,,,0.0,7.4,,0.0,16.3,0.0,6.3
Shane Feldman,2023,F,,2,,121.0,-3.1,-3.5,-6.6,,,0.0,0.0,,0.0,0.0,0.0,0.0
Stephen Keating,2023,F,,1,,121.0,-2.5,-4.7,-7.2,,,0.0,0.0,,0.0,0.0,0.0,0.0
Judah Mintz,2024,G,75.0,1084,108.0,106.9,2.7,1.5,4.2,0.543,0.466,29.7,25.4,14.5,1.6,9.1,3.4,0.4
JJ Starling,2024,G,76.0,1102,102.8,111.8,0.6,-0.5,0.1,0.533,0.517,20.5,10.2,12.1,2.1,8.4,1.4,0.6
Chris Bell,2024,F,79.0,865,113.5,110.9,3.3,0.0,3.3,0.587,0.57,20.2,4.5,7.4,0.8,8.9,1.2,2.6
Quadir Copeland,2024,F,78.0,716,106.3,102.9,1.0,2.3,3.3,0.546,0.502,23.9,23.0,18.6,6.4,16.8,3.6,0.9
Maliq Brown,2024,F,80.0,948,135.0,100.0,3.4,4.0,7.4,0.723,0.717,13.2,11.2,16.3,9.0,18.2,4.2,3.2
Benny Williams,2024,F,80.0,307,91.1,100.6,-1.0,3.7,2.7,0.452,0.437,20.7,12.7,16.4,6.0,20.0,3.1,5.4
Justin Taylor,2024,F,78.0,742,90.6,107.1,-1.7,1.1,-0.6,0.45,0.429,13.6,6.8,13.3,1.8,17.3,1.7,1.1
Naheem McLeod,2024,C,88.0,204,134.4,103.0,1.5,3.4,4.9,0.629,0.594,11.9,0.8,12.3,16.8,16.4,0.8,13.8
Kyle Cuffe Jr.,2024,F,,312,95.9,108.6,-2.4,1.1,-1.3,0.499,0.5,17.2,8.3,14.8,3.7,7.2,2.5,2.0
Niko Ruffin,2024,G,70.0,4,140.9,107.6,-16.0,-3.0,-19.0,0.75,0.75,24.8,0.0,0.0,0.0,27.9,0.0,0.0
Peter Carey,2024,C,83.0,70,81.4,105.1,-7.3,1.6,-5.7,0.301,0.286,10.6,2.3,0.0,4.9,14.3,2.4,3.0
Mounir Hima,2024,C,83.0,43,120.3,110.1,-3.0,2.0,-1.0,0.667,0.667,4.6,3.6,25.0,5.3,10.4,0.0,7.2
Anthony Clayton,2024,G,72.0,4,0.0,118.6,-14.8,-8.1,-22.9,0.0,0.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0
JJ Starling,2025,G,76.0,899,100.9,113.9,1.4,-0.4,1.0,0.487,0.453,30.0,17.0,11.4,2.5,10.2,1.5,1.0
Donnie Freeman,2025,F,81.0,357,113.4,108.1,4.1,0.8,4.8,0.591,0.548,25.8,11.2,13.6,4.9,31.2,0.8,1.5
Eddie Lampkin Jr.,2025,F,,988,117.0,110.3,3.3,0.6,3.9,0.612,0.6,19.4,14.0,18.9,13.4,23.8,0.8,1.8
Jyare Davis,2025,F,79.0,814,114.2,111.3,2.7,1.2,3.9,0.578,0.563,19.2,10.7,13.8,6.9,16.4,1.5,1.8
Chris Bell,2025,F,79.0,710,108.8,114.8,1.6,-0.3,1.4,0.553,0.506,22.2,4.0,11.2,1.5,9.3,0.9,2.0
Jaquan Carlos,2025,G,72.0,947,100.7,113.3,-1.4,1.0,-0.3,0.488,0.45,14.2,24.1,22.4,1.4,7.7,2.2,0.6
Lucas Taylor,2025,G,77.0,709,113.8,113.9,-0.6,1.4,0.7,0.581,0.551,13.8,6.0,12.3,1.8,11.0,1.3,0.8
Elijah Moore,2025,G,76.0,409,98.8,115.8,-0.1,-0.3,-0.4,0.49,0.477,19.6,11.4,13.1,2.0,9.1,1.1,0.0
Kyle Cuffe Jr.,2025,F,,368,97.8,113.3,-2.7,0.2,-2.5,0.481,0.404,25.1,7.9,13.6,2.8,7.6,2.1,0.6
Petar Majstorovic,2025,F,80.0,411,104.5,110.0,-1.8,1.9,0.1,0.53,0.523,12.4,9.1,24.7,11.9,16.1,1.8,2.1
Naheem McLeod,2025,C,88.0,120,141.1,108.9,3.9,2.7,6.5,0.788,0.826,13.5,6.6,15.5,11.6,19.3,0.5,7.3
Anthony Clayton,2025,G,72.0,2,250.0,121.5,16.1,4.3,20.4,1.053,,23.9,0.0,0.0,0.0,0.0,0.0,0.0
Chance Westry,2025,F,78.0,10,27.5,121.0,-8.5,-3.4,-12.0,0.0,0.0,10.0,15.1,50.0,0.0,0.0,0.0,0.0
Chris Gatty,2025,G,74.0,2,,121.5,-2.4,-0.4,-2.8,,,0.0,0.0,,0.0,0.0,0.0,0.0
Nate Fleisher,2025,G,73.0,2,0.0,121.5,-14.7,-8.8,-23.6,0.0,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0
Noah Lobdell,2025,G,72.0,2,,121.5,-2.9,-0.6,-3.4,,,0.0,0.0,,0.0,0.0,0.0,0.0
Donnie Freeman,2026,F,81.0,546,112.0,102.4,3.3,2.0,5.2,0.587,0.538,28.3,10.1,13.8,3.4,22.5,1.8,3.3
JJ Starling,2026,G,76.0,746,103.0,110.1,0.6,1.1,1.7,0.489,0.48,23.2,15.4,9.7,1.7,8.7,1.9,0.8
Nate Kingz,2026,G,77.0,844,123.1,108.6,3.6,2.1,5.7,0.596,0.591,17.1,7.4,7.4,3.1,10.7,1.9,2.0
Naithan George,2026,G,75.0,841,105.0,108.1,1.2,1.1,2.3,0.553,0.493,20.5,30.7,25.1,2.1,8.6,2.7,1.0
William Kyle III,2026,C,,761,124.7,100.3,3.5,4.2,7.7,0.621,0.658,15.1,6.2,13.2,11.8,18.4,2.2,9.9
Kiyan Anthony,2026,G,77.0,501,102.8,113.0,0.9,-0.6,0.3,0.503,0.467,25.4,9.5,10.8,2.5,6.3,1.1,1.3
Tyler Betsey,2026,F,80.0,463,117.1,109.7,2.6,0.4,3.0,0.553,0.538,18.8,3.5,7.0,6.0,12.3,1.1,1.1
Sadiq White Jr.,2026,F,,404,105.0,104.3,-1.3,2.4,1.2,0.545,0.544,21.3,6.3,15.4,9.2,15.0,2.0,4.9
Calvin Russell III,2026,G,77.0,2,81.2,116.7,-11.0,-14.9,-25.9,0.432,0.333,100.0,0.0,22.3,57.8,0.0,0.0,0.0
Luke Fennell,2026,F,78.0,65,83.6,110.1,-5.1,0.7,-4.4,0.357,0.286,13.6,9.8,11.5,0.0,10.3,1.8,0.0
Ibrahim Souare,2026,C,81.0,213,103.7,103.7,-4.3,4.2,-0.1,0.548,0.615,6.7,3.7,31.9,9.8,16.8,1.1,8.4
Bryce Zephir,2026,G,76.0,100,95.6,111.0,-4.6,2.3,-2.3,0.588,0.65,8.6,9.7,29.6,1.2,6.7,1.8,1.0
Tiefing Diawara,2026,C,84.0,9,205.2,95.6,3.9,6.7,10.6,1.0,1.0,5.6,0.0,0.0,12.8,24.9,0.0,23.3
Noah Lobdell,2026,G,72.0,4,0.0,84.9,-23.2,10.2,-13.0,0.0,0.0,25.4,0.0,0.0,0.0,0.0,14.7,0.0
